dia;mes;ano;valor
20;4;1937;5.6
21;4;1937;15.5
22;4;1937;15.4
23;4;1937;17.3
24;4;1937;16.6
25;4;1937;7.9
26;4;1937;15.7
27;4;1937;18.5
28;4;1937;18.9
29;4;1937;17.2
30;4;1937;13.7
1;5;1937;5.2
2;5;1937;12.5
3;5;1937;10.6
4;5;1937;14.7
5;5;1937;10.2
6;5;1937;10.5
7;5;1937;13.5
8;5;1937;9.8
9;5;1937;11.3
10;5;1937;16.1
11;5;1937;16.3
12;5;1937;6.3
13;5;1937;9.6
14;5;1937;9.6
15;5;1937;15.2
16;5;1937;14.9
17;5;1937;15.3
18;5;1937;7.4
19;5;1937;10.9
20;5;1937;12.3
21;5;1937;14.2
22;5;1937;13.8
23;5;1937;13.1
24;5;1937;13.5
25;5;1937;15.3
26;5;1937;14.1
27;5;1937;13.9
28;5;1937;13.7
29;5;1937;12.9
30;5;1937;13.0
31;5;1937;5.6
1;6;1937;14.0
2;6;1937;8.9
3;6;1937;4.4
4;6;1937;12.6
5;6;1937;8.5
6;6;1937;6.8
7;6;1937;12.4
8;6;1937;10.2
9;6;1937;13.8
10;6;1937;9.1
11;6;1937;11.2
12;6;1937;9.9
13;6;1937;7.3
14;6;1937;15.1
15;6;1937;15.2
16;6;1937;13.3
17;6;1937;11.3
18;6;1937;10.9
19;6;1937;12.4
20;6;1937;12.0
21;6;1937;10.8
22;6;1937;10.6
23;6;1937;9.7
24;6;1937;10.8
25;6;1937;11.0
26;6;1937;9.5
27;6;1937;12.1
28;6;1937;12.5
29;6;1937;14.8
30;6;1937;14.5
1;7;1937;7.3
2;7;1937;5.7
3;7;1937;5.6
4;7;1937;13.2
5;7;1937;8.5
6;7;1937;11.9
7;7;1937;6.6
8;7;1937;12.4
9;7;1937;14.6
10;7;1937;8.2
11;7;1937;7.2
12;7;1937;9.1
13;7;1937;9.5
14;7;1937;5.4
15;7;1937;5.6
16;7;1937;16.2
17;7;1937;15.9
18;7;1937;15.2
19;7;1937;12.1
20;7;1937;10.5
21;7;1937;10.6
22;7;1937;13.7
23;7;1937;13.1
24;7;1937;15.5
25;7;1937;8.0
26;7;1937;10.7
27;7;1937;8.8
28;7;1937;8.6
29;7;1937;9.3
30;7;1937;6.1
31;7;1937;12.3
1;8;1937;5.2
2;8;1937;9.0
3;8;1937;10.1
4;8;1937;14.6
5;8;1937;7.5
6;8;1937;0.8
7;8;1937;11.5
8;8;1937;9.9
9;8;1937;14.4
10;8;1937;12.4
11;8;1937;7.2
12;8;1937;10.5
13;8;1937;13.3
14;8;1937;13.9
15;8;1937;14.5
16;8;1937;7.3
17;8;1937;15.0
18;8;1937;17.9
19;8;1937;15.1
20;8;1937;16.2
21;8;1937;18.2
22;8;1937;18.4
23;8;1937;19.3
24;8;1937;19.6
25;8;1937;19.6
26;8;1937;16.0
27;8;1937;13.8
28;8;1937;17.4
29;8;1937;18.7
30;8;1937;16.6
31;8;1937;17.0
1;9;1937;8.1
2;9;1937;11.4
3;9;1937;11.4
4;9;1937;8.2
5;9;1937;12.7
6;9;1937;5.6
7;9;1937;11.6
8;9;1937;17.3
9;9;1937;16.9
10;9;1937;15.9
11;9;1937;13.9
12;9;1937;14.1
13;9;1937;16.3
14;9;1937;7.3
15;9;1937;5.6
16;9;1937;8.5
17;9;1937;4.9
18;9;1937;5.1
19;9;1937;8.4
20;9;1937;12.9
21;9;1937;15.3
22;9;1937;15.4
23;9;1937;17.7
24;9;1937;14.0
25;9;1937;6.9
26;9;1937;9.6
27;9;1937;9.4
28;9;1937;10.9
29;9;1937;6.1
30;9;1937;20.1
1;10;1937;9.2
2;10;1937;5.9
3;10;1937;5.7
4;10;1937;5.3
5;10;1937;10.5
6;10;1937;11.5
7;10;1937;10.5
8;10;1937;6.9
